"year" "PC1_score" "spline_15" "klp_sd" "ulp_sd" "total_sd"
1139 -0.537558469688049 0.0497977801215866 41 31 72
1140 0.665760017894934 0.377151859368959 42 30 72
1141 0.915869383883516 0.674520038498195 42 30 72
1142 1.63795607221973 0.899195212612608 42 30 72
1143 1.97079333894771 1.01869473308042 44 30 74
1144 1.25515614677158 1.02182096931616 44 30 74
1145 0.929606782216187 0.921903960232682 44 30 74
1146 1.49306246902538 0.741987050322962 43 30 73
1147 0.423788117624926 0.510322469453996 43 30 73
1148 1.23023860776939 0.270172406289948 43 30 73
1149 -3.12709266693182 0.0718025928496573 43 30 73
1150 0.0616865382021584 -0.0316744986684817 43 30 73
1151 -0.842158045964328 -0.047392864498852 43 29 72
1152 0.79610013181111 -0.00106105290118685 43 29 72
1153 0.365894805305926 0.0698703884756938 43 29 72
1154 0.225081656839107 0.141752231367751 43 29 72
1155 0.781749735474851 0.201528206400579 43 29 72
1156 -0.0393174699709228 0.242348055410357 43 29 72
1157 -0.283680726740473 0.268251868352433 42 29 71
1158 0.800315605610089 0.277644218437222 42 29 71
1159 0.85448629977358 0.258838837907207 42 29 71
1160 0.0903984884081699 0.211100608975738 42 29 71
1161 0.619903848147115 0.147981388427556 42 29 71
1162 -1.65951379078809 0.0860333183606568 42 29 71
1163 -0.0373322993552189 0.0419185480322832 42 28 70
1164 0.773931785880481 -0.00151016841436269 42 28 70
1165 1.37624922214429 -0.0680039542512154 42 28 70
1166 -0.749062376323081 -0.15839589478421 42 28 70
1167 -1.45377087008342 -0.242930421024406 42 28 70
1168 -0.769286462594155 -0.302776704690958 42 28 70
1169 0.749206182286708 -0.349378310475069 42 27 69
1170 0.387739915934518 -0.404329009628174 42 27 69
1171 -2.10395680962508 -0.465005795219642 42 28 70
1172 -0.112170457451938 -0.515302422900913 42 28 70
1173 -1.11402213364404 -0.566616751483492 42 29 71
1174 0.327202676192742 -0.633290830707771 41 29 70
1175 -0.574509432083596 -0.733904718619549 41 29 70
1176 -1.37697729479365 -0.869316926389459 41 29 70
1177 -0.334354210757362 -1.03479128376147 41 29 70
1178 -1.28910884448314 -1.23159879050379 41 29 70
1179 -0.584136622266077 -1.44953504584854 41 29 70
1180 -2.09311106179108 -1.67154197042892 41 29 70
